URL,Bezirk,Minuspunkte,Note,RestaurantName,pubDate,Adresse
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/171,"Berlin - Charlottenburg-Wilmersdorf
","

  
 11
",gut,Veritas,"Tue, 14 Feb 2012 00:00:00 +0100","Krumme Str. 50, 10627 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/169,"Berlin - Charlottenburg-Wilmersdorf
","

  
 18
",gut,Del Falco,"Mon, 20 Feb 2012 00:00:00 +0100","Königin-Elisabeth-Str. 54, 14059 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/167,"Berlin - Charlottenburg-Wilmersdorf
","

  
 10
",gut,Restaurant Sachs,"Tue, 07 Feb 2012 00:00:00 +0100","Knesebeckstr. 29, 10623 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/165,"Berlin - Charlottenburg-Wilmersdorf
","

  
 19
",gut,Do De Li,"Thu, 08 Mar 2012 00:00:00 +0100","Kantstr. 120-121, 10625 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/163,"Berlin - Charlottenburg-Wilmersdorf
","

  
 13
",gut,Cassambalis,"Tue, 07 Feb 2012 00:00:00 +0100","Grolmanstr. 35, 10623 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/161,"Berlin - Charlottenburg-Wilmersdorf
","

  
 2
",gut,Bärenstube,"Thu, 12 Jan 2012 00:00:00 +0100","Guerickestr. 28, 10587 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/159,"Berlin - Charlottenburg-Wilmersdorf
","

  
 20
",zufriedenstellend,TC City Sports GmbH,"Fri, 24 Feb 2012 00:00:00 +0100","Brandenburgische Str. 53, 10707 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/157,"Berlin - Charlottenburg-Wilmersdorf
","

  
 14
",gut,TAO,"Mon, 11 Jul 2011 00:00:00 +0200","Wilmersdorfer Str. 94, 10629 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/155,"Berlin - Charlottenburg-Wilmersdorf
","

  
 13
",gut,Ranke 2,"Thu, 29 Dec 2011 00:00:00 +0100","Rankestr. 2-3, 10789 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/153,"Berlin - Charlottenburg-Wilmersdorf
","

  
 12
",gut,Feris,"Thu, 29 Dec 2011 00:00:00 +0100","Rankestr. 1a, 10789 Berlin"
